Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.68,4.47,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426117,6.312292359,3.4375,1.812688822,1.483679525,0.877192982,3.768115942,8.938547486,5.897435897,1.452784504,2.14797136,7.943925234,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,,,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.079983628,5.570225346,6.420701581,4.794559575,5.625017746,6.497295733,6.908867936,-12.16902795,3.09601364,-0.494821367,5.063336314,7.967485482,5.739161343,2.939568128,7.311017648,4.614567334,4.971216087,2.052694442,0.133344041,-1.371773316,0.27561674,-3.938737804,-4.042121789,-0.200671744,-1.676387096,-2.573877377,2.463479373,2.909505419,3.790128534,4.635787879,5.266522121,1.646500039,4.269294855,4.667266263,4.6782771,4.361340294,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564284925,6.148597672,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,4.857187895,4.263919404,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.27591155,5.21605942,0.874672592,3.485582304,3.053487894,4.150360233,4.915265675,11.42728238,9.73582689,8.769947472,11.29508684,12.05280225,13.97869165,9.042120313,5.209075901,9.790410161,4.606318061,3.231709563,6.766284965,9.110960155,-4.3933572,0.580245553,-3.409793474,5.26914315,7.945861749,7.988295105,3.599629467,-0.102672718,3.279458858,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535528,3.395028637,0.338356179,0.469066587,4.11256491,1.389867166,3.053303731,1.141007013,5.759876004,3.202135213,3.961902656,6.069872846,5.09434227,-0.125873062,7.528223562,3.974425406,1.921150318,3.004865359,0.503961791,-3.769252669,-3.594739196,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-1.899995205,-4.900008103,0.499999376,3.600004224,1.100008144,5.099999783,2.59999684,3.500003391,3.599998335,-3.29999517,-3.900008353,-5.70001675,0.800000624,2.000000125,2.023261449,3.966274789,4.740148487,3.740458015,0.325869862,4.453059514,-2.36733875,0.791122984,2.171253823,1.406764442,3.96497442,5.668590896,1.764284435,0.396022177,-4.041023843,0.264912761,0.756195335,0.298399494,-0.072124053,0.063154096,0.901631954,1.56375659,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.355463068,20.15539436,10.91669706,6.775834422,22.56242876,-6.996702984,-19.82671586,3.956654938,0.501465966,0.599876542,-1.49074908,-2.715469953,2.009129814,1.097367166,-1.074178573,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.46551471,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,13.90772904,3.413941475,11.31071362,4.482105129,4.211775036,11.73057663,28.69626536,4.987289699,7.432626446,10.87643469,-0.407876089,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168,6.491370587,6.166423672,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.343283719,6.666667814,5.921045096,6.832300927,5.813955063,6.344019093,5.924559943,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795217,8.446250376,10.64737671,12.01204009,14.33280159,12.14858892,11.98690138,9.064857465,12.16553186,13.14672905,8.54538364,7.125271269,8.172924333,11.88192814,19.44996951,13.05940589,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763758,6.245437398,-7.652310203,8.563631748,6.048316381,4.456167218,11.34342423,4.149252734,-1.699936086,2.9,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.953553798,-3.713800184,-0.707010752,2.080324599,0.947578712,0.64478372,4.676613109,1.404113177,7.091542528,2.332880877,1.130202384,-0.000867175,1.888939956,6.339033612,0.404987104,5.432518987,3.806234914,1.209235419,-2.465137785,-4.478638848,-1.544465665,7.715783631,-8.126513593,9.481726653,3.927219538,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,1.70923922,3.046634733,3.300719157,4.112797869,-36.69995244,1.040018047,4.799886081,4.531285963,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.163291684,7.116779267,5.181776082,6.699456682,6.636545139,6.584965408,2.91531036,5.295341864,5.260000826,3.25561362,4.117657617,5.44585558,6.964202919,3.690987649,1.822973129,5.199302435,3.458230601,3.953591265,3.804922884,2.162616891,3.503119536,-3.202024839,2.598572697,5.925350318,4.734082845,2.161815553,4.096464516,4.429400975,2.323973923,0.154346036,-2.125692233,0.882976026,2.655235883,4.493474619,2.677708436,1.611048031,4.279812433,3.881759144,5.1632109,5.182690286,1.770819089,3.010016308,1.802273312,3.085961209,3.201382137,2.623412623,2.06274769,1.000360973,-2.949587643,3.08351422,3.141219001,1.745472283,2.475001859,2.565299274,0.941675857,1.467747075,
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.739876058,-1.757512219,1.574317717,4.126258033,5.778046133,4.386208397,3.048998828,2.679880724,2.080968892,4.046389977,3.07608227,3.461563391,4.438816365,5.593945271,4.920515522,6.566996974,6.395003042,3.780444943,-3.687526538,1.927674017,3.131952597,0.570796605,1.32473591,2.934447459,3.618713192,2.876245693,
